Framework,256,1024,4096,16384,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
activeweb,339627,302862,272321,261618,339627,Plt,Jav,Act,Res,Lin,Non,Lin,Raw,Rea,0
aspnet-stripped,103165,108689,109136,106587,109136,Ful,C#,Net,IIS,Win,Non,Lin,Raw,Str,0
aspnet-mvc-mono,625,2601,5192,4770,5192,Ful,C#,Mon,ngx,Lin,Non,Lin,Raw,Rea,0
aspnet,70833,70516,71589,69743,71589,Ful,C#,Net,IIS,Win,Non,Lin,Raw,Rea,0
bottle-py3,143650,143681,143424,143029,143681,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-nginx-uwsgi,37590,38848,40347,40277,40347,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,3
bottle,172581,172662,172111,171109,172662,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-pypy,180127,199254,177339,154717,199254,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
cake,5207,5197,5188,5025,5207,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
compojure,176734,160593,147272,142089,176734,Mcr,Clj,Svt,Res,Lin,My,Lin,Mcr,Rea,0
cpoll_cppsp,4585408,6734212,6738911,6256514,6738911,Mcr,C++,Cpl,Non,Lin,Non,Lin,Raw,Rea,0
dart,56065,57551,57291,56698,57551,Plt,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
evhttp-sharp,93788,108436,102645,95668,108436,Mcr,C#,Mon,Non,Lin,Non,Lin,Raw,Rea,0
falcon,203963,203587,202714,201312,203963,Mcr,Py,Gun,Non,Lin,Non,Lin,Raw,Rea,0
falcon-py3,169519,169380,168703,167803,169519,Mcr,Py,Gun,Non,Lin,Non,Lin,Raw,Rea,0
falcon-pypy,179787,205929,186985,165531,205929,Mcr,Py,Gun,Non,Lin,Non,Lin,Raw,Rea,0
falcore,333658,320296,306542,290764,333658,Mcr,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
flask-nginx-uwsgi,32292,52004,55204,53132,55204,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,85
flask-py3,64620,64559,64431,64061,64620,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask-pypy,54085,60218,58742,56351,60218,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask,66463,66449,66247,65870,66463,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
gemini,1357894,1330900,1321632,1318393,1357894,Ful,Jav,Svt,Res,Lin,My,Lin,Mcr,Rea,0
go,490728,490287,478902,463199,490728,Plt,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
grails,72348,62468,50749,50698,72348,Ful,Grv,Svt,Res,Lin,My,Lin,Ful,Rea,0
grizzly,2056126,2112813,2089248,2120141,2120141,Mcr,Jav,Svt,Grz,Lin,Non,Lin,Raw,Rea,0
hhvm,16,66,270,938,938,Plt,PHP,hhv,HPH,Lin,My,Lin,Raw,Rea,2231
http-listener,97825,103069,104047,95875,104047,Plt,C#,Net,hts,Win,Non,Lin,Raw,Rea,0
lapis,355728,356019,361347,365942,365942,Ful,Lua,OpR,ngx,Lin,Pg,Lin,Ful,Rea,65
luminus,72618,70255,68710,64678,72618,Mcr,Clj,Svt,Res,Lin,My,Lin,Ful,Rea,0
netty,2745858,2756821,2635296,2583003,2756821,Plt,Jav,Nty,Non,Lin,Non,Lin,Raw,Rea,0
ninja-standalone,35177,34303,33874,32926,35177,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
ninja-standalone,34015,33929,35271,35032,35271,Ful,Jav,Jty,Jty,Lin,My,Lin,Ful,Rea,925
nodejs,95520,289578,224202,0,289578,Plt,JS,njs,Non,Lin,Non,Lin,Raw,Rea,0
openresty,1101078,1066693,1097385,1561596,1561596,Plt,Lua,OpR,ngx,Lin,My,Lin,Raw,Rea,6
php,195923,186553,189057,185052,195923,Plt,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
phpixie,32876,26617,25214,26161,32876,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
phreeze,3362,2220,3233,3419,3419,Mcr,PHP,FPM,ngx,Lin,My,Lin,Mcr,Rea,931997
plain-windows,1483529,1319936,1297248,1265059,1483529,Ful,Sca,Pla,Non,Win,My,Lin,Ful,Rea,0
plain-servlet-linux,1576626,1525034,1485396,1489013,1576626,Ful,Sca,Pla,Non,Lin,My,Lin,Ful,Rea,0
plain,2158968,2121670,1992985,1989068,2158968,Ful,Sca,Pla,Non,Lin,My,Lin,Mcr,Rea,0
pyramid-py2,26715,34850,40071,29142,40071,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,9
pyramid-py3,26928,34141,37585,26780,37585,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,5
rack-ruby,113249,131659,125524,121040,131659,Plt,Rby,Rac,Uni,Lin,Non,Lin,Ful,Rea,5
rack-jruby,456092,460183,450685,442618,460183,Plt,Rby,JRb,Tor,Lin,Non,Lin,Ful,Rea,186
revel,390929,394470,378382,361294,394470,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
ringojs,121979,123575,122564,121742,123575,Plt,JS,Rin,Jty,Lin,Non,Lin,Raw,Rea,54
ringojs-conv,93862,94583,94406,93790,94583,Mcr,JS,Rin,Jty,Lin,My,Lin,Mcr,Rea,171
servicestack-nginx-d,1254,1160,2343,2170,2343,Plt,C#,Mon,ngx,Lin,Non,Lin,Raw,Rea,2
servicestack,— Did not complete —,,,,,Plt,C#,Mon,XSP,Lin,Non,Lin,Raw,Rea,—
servlet,1776915,1723283,1697514,1687364,1776915,Plt,Jav,Svt,Res,Lin,Non,Lin,Raw,Rea,0
jetty-servlet,1124981,1163548,1167791,1136011,1167791,Plt,Jav,Jty,Jty,Lin,Non,Lin,Raw,Rea,408
silex,— Did not complete —,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
sinatra-jruby,90035,89729,87702,87593,90035,Mcr,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
sinatra-ruby,4232,7046,30433,30541,30541,Mcr,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,3139167
snap,72217,65054,48854,39219,72217,Mcr,Hkl,Snp,Non,Lin,My,Lin,Ful,Rea,0
spark,4574,4179,4377,5769,5769,Mcr,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,2397
spray,— Removed at request of framework maintainer - outdated version —,,,,,Mcr,Sca,Spr,Non,Lin,Non,Lin,Raw,Rea,—
spring,86885,86130,86709,86250,86885,Ful,Jav,Svt,Tom,Lin,My,Lin,Ful,Rea,0
start,52997,54888,54612,53478,54888,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
stream,52014,54160,53394,52930,54160,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
tornado-py3,80487,80302,77479,75120,80487,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado-pypy,192795,179891,165591,143901,192795,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado,98211,98044,94095,90245,98211,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
treefrog,14772,17545,10817,10899,17545,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,171
treefrog-thread,98156,295107,312573,310356,312573,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,260
undertow,4015345,4162894,4155036,4133601,4162894,Plt,Jav,Utw,Non,Lin,Non,Lin,Raw,Rea,95
undertow edge,4116612,4151495,4131652,4128329,4151495,Plt,Jav,Und,Non,Lin,Non,Lin,Raw,Rea,4
ur/web,712499,709099,706882,686967,712499,Ful,Ur,Ur/,Non,Lin,Non,Lin,Mcr,Rea,0
vertx,— Removed at request of framework maintainer - outdated version —,,,,,Plt,Jav,vtx,Non,Lin,Mo,Lin,Raw,Rea,—
wicket,408004,395186,385600,361064,408004,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
wsgi-nginx-uwsgi,80907,92231,82701,82592,92231,Plt,Py,uWS,ngx,Lin,Non,Lin,Raw,Rea,0
wsgi,251501,251365,250702,248984,251501,Plt,Py,Gun,Non,Lin,Non,Lin,Raw,Rea,0
